,n,da_p-range,e_p-range,sini_p-range,MeanLib-range,LibRange-range,albedo-range,W1Alb-range,W2Alb-range,g_mag-mean-range,(b - v)-range,(u - g)-range,(g - r)-range,(r - i)-range,(i - z)-range,(Y - J)-range,(J - Ks)-range,(H - Ks)-range,da_p-min,e_p-min,sini_p-min,MeanLib-min,LibRange-min,albedo-min,W1Alb-min,W2Alb-min,g_mag-mean-min,(b - v)-min,(u - g)-min,(g - r)-min,(r - i)-min,(i - z)-min,(Y - J)-min,(J - Ks)-min,(H - Ks)-min,da_p-max,e_p-max,sini_p-max,MeanLib-max,LibRange-max,albedo-max,W1Alb-max,W2Alb-max,g_mag-mean-max,(b - v)-max,(u - g)-max,(g - r)-max,(r - i)-max,(i - z)-max,(Y - J)-max,(J - Ks)-max,(H - Ks)-max
Stentor,8,0.0-2.0,3.0-5.0,8.0-14.0,0.0-1.0,0.0-2.0,3.0-6.0,2.0-3.0,2.0-5.0,9.0-10.0,4.0-5.0,5.0-13.0,4.0-5.0,8.0-10.0,11.0-13.0,5.0-11.0,5.0-10.0,-,0.0,3.0,8.0,0.0,0.0,3.0,2.0,2.0,9.0,4.0,5.0,4.0,8.0,11.0,5.0,5.0,,2.0,5.0,14.0,1.0,2.0,6.0,3.0,5.0,10.0,5.0,13.0,5.0,10.0,13.0,11.0,10.0,
1998WR10,5,2.0-3.0,2.0-5.0,6.0-9.0,2.0-2.0,2.0-4.0,2.0-3.0,2.0-2.0,3.0-3.0,-,4.0-4.0,8.0-8.0,4.0-4.0,10.0-13.0,12.0-13.0,8.0-8.0,3.0-3.0,-,2.0,2.0,6.0,2.0,2.0,2.0,2.0,3.0,,4.0,8.0,4.0,10.0,12.0,8.0,3.0,,3.0,5.0,9.0,2.0,4.0,3.0,2.0,3.0,,4.0,8.0,4.0,13.0,13.0,8.0,3.0,
Periphas,5,3.0-4.0,5.0-6.0,8.0-10.0,1.0-2.0,3.0-4.0,3.0-6.0,2.0-6.0,2.0-8.0,7.0-14.0,4.0-4.0,5.0-5.0,4.0-4.0,9.0-9.0,12.0-12.0,8.0-8.0,2.0-2.0,-,3.0,5.0,8.0,1.0,3.0,3.0,2.0,2.0,7.0,4.0,5.0,4.0,9.0,12.0,8.0,2.0,,4.0,6.0,10.0,2.0,4.0,6.0,6.0,8.0,14.0,4.0,5.0,4.0,9.0,12.0,8.0,2.0,
Halitherses,15,0.0-4.0,3.0-9.0,0.0-3.0,2.0-3.0,0.0-3.0,2.0-9.0,2.0-6.0,3.0-6.0,11.0-11.0,2.0-5.0,4.0-7.0,2.0-5.0,0.0-11.0,8.0-12.0,14.0-14.0,5.0-5.0,2.0-2.0,0.0,3.0,0.0,2.0,0.0,2.0,2.0,3.0,11.0,2.0,4.0,2.0,0.0,8.0,14.0,5.0,2.0,4.0,9.0,3.0,3.0,3.0,9.0,6.0,6.0,11.0,5.0,7.0,5.0,11.0,12.0,14.0,5.0,2.0
Polypoites,5,3.0-6.0,0.0-2.0,4.0-6.0,3.0-4.0,3.0-5.0,2.0-5.0,3.0-5.0,3.0-6.0,5.0-8.0,4.0-4.0,6.0-6.0,4.0-4.0,9.0-9.0,12.0-12.0,6.0-6.0,5.0-5.0,-,3.0,0.0,4.0,3.0,3.0,2.0,3.0,3.0,5.0,4.0,6.0,4.0,9.0,12.0,6.0,5.0,,6.0,2.0,6.0,4.0,5.0,5.0,5.0,6.0,8.0,4.0,6.0,4.0,9.0,12.0,6.0,5.0,
Ulysses,17,0.0-3.0,4.0-9.0,3.0-9.0,1.0-3.0,0.0-3.0,1.0-7.0,2.0-4.0,2.0-4.0,7.0-14.0,4.0-4.0,5.0-6.0,4.0-5.0,8.0-9.0,11.0-12.0,0.0-12.0,4.0-4.0,-,0.0,4.0,3.0,1.0,0.0,1.0,2.0,2.0,7.0,4.0,5.0,4.0,8.0,11.0,0.0,4.0,,3.0,9.0,9.0,3.0,3.0,7.0,4.0,4.0,14.0,4.0,6.0,5.0,9.0,12.0,12.0,4.0,
Idomeneus,6,3.0-4.0,4.0-7.0,5.0-6.0,3.0-3.0,3.0-4.0,1.0-4.0,1.0-3.0,0.0-3.0,5.0-8.0,3.0-5.0,3.0-6.0,3.0-5.0,6.0-11.0,5.0-11.0,6.0-7.0,3.0-4.0,-,3.0,4.0,5.0,3.0,3.0,1.0,1.0,0.0,5.0,3.0,3.0,3.0,6.0,5.0,6.0,3.0,,4.0,7.0,6.0,3.0,4.0,4.0,3.0,3.0,8.0,5.0,6.0,5.0,11.0,11.0,7.0,4.0,
Halaesus,10,2.0-4.0,7.0-10.0,5.0-6.0,3.0-4.0,1.0-4.0,2.0-6.0,2.0-4.0,2.0-5.0,12.0-12.0,4.0-4.0,5.0-5.0,4.0-4.0,8.0-11.0,11.0-11.0,4.0-9.0,2.0-3.0,-,2.0,7.0,5.0,3.0,1.0,2.0,2.0,2.0,12.0,4.0,5.0,4.0,8.0,11.0,4.0,2.0,,4.0,10.0,6.0,4.0,4.0,6.0,4.0,5.0,12.0,4.0,5.0,4.0,11.0,11.0,9.0,3.0,
Agamemnon,16,6.0-8.0,1.0-4.0,5.0-10.0,2.0-4.0,5.0-8.0,1.0-5.0,1.0-5.0,1.0-5.0,3.0-13.0,4.0-4.0,5.0-8.0,4.0-4.0,8.0-12.0,11.0-13.0,6.0-14.0,3.0-14.0,-,6.0,1.0,5.0,2.0,5.0,1.0,1.0,1.0,3.0,4.0,5.0,4.0,8.0,11.0,6.0,3.0,,8.0,4.0,10.0,4.0,8.0,5.0,5.0,5.0,13.0,4.0,8.0,4.0,12.0,13.0,14.0,14.0,
Thersander,10,6.0-7.0,0.0-4.0,2.0-6.0,4.0-5.0,6.0-6.0,1.0-10.0,2.0-10.0,3.0-11.0,8.0-12.0,3.0-3.0,5.0-5.0,4.0-4.0,4.0-4.0,11.0-11.0,4.0-7.0,3.0-7.0,-,6.0,0.0,2.0,4.0,6.0,1.0,2.0,3.0,8.0,3.0,5.0,4.0,4.0,11.0,4.0,3.0,,7.0,4.0,6.0,5.0,6.0,10.0,10.0,11.0,12.0,3.0,5.0,4.0,4.0,11.0,7.0,7.0,
GreaterAchilles,35,0.0-3.0,1.0-14.0,1.0-8.0,2.0-4.0,0.0-3.0,0.0-11.0,0.0-11.0,0.0-11.0,4.0-14.0,3.0-11.0,0.0-7.0,3.0-11.0,2.0-14.0,9.0-13.0,6.0-8.0,2.0-4.0,7.0-7.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,3.0,2.0,9.0,6.0,2.0,7.0,3.0,14.0,8.0,4.0,3.0,11.0,11.0,11.0,14.0,11.0,7.0,11.0,14.0,13.0,8.0,4.0,7.0
Epeios,10,0.0-2.0,1.0-8.0,2.0-4.0,2.0-3.0,0.0-1.0,3.0-6.0,2.0-4.0,3.0-4.0,10.0-13.0,4.0-4.0,3.0-3.0,4.0-4.0,5.0-5.0,10.0-10.0,6.0-8.0,2.0-3.0,7.0-7.0,0.0,1.0,2.0,2.0,0.0,3.0,2.0,3.0,10.0,4.0,3.0,4.0,5.0,10.0,6.0,2.0,7.0,2.0,8.0,4.0,3.0,1.0,6.0,4.0,4.0,13.0,4.0,3.0,4.0,5.0,10.0,8.0,3.0,7.0
Achilles,9,1.0-3.0,9.0-12.0,1.0-4.0,3.0-4.0,1.0-3.0,1.0-11.0,3.0-11.0,1.0-11.0,4.0-13.0,3.0-5.0,5.0-6.0,3.0-5.0,5.0-12.0,10.0-13.0,8.0-8.0,4.0-4.0,-,1.0,9.0,1.0,3.0,1.0,1.0,3.0,1.0,4.0,3.0,5.0,3.0,5.0,10.0,8.0,4.0,,3.0,12.0,4.0,4.0,3.0,11.0,11.0,11.0,13.0,5.0,6.0,5.0,12.0,13.0,8.0,4.0,
1991EL,10,0.0-3.0,7.0-14.0,4.0-8.0,2.0-4.0,0.0-2.0,0.0-5.0,0.0-4.0,0.0-5.0,9.0-14.0,3.0-11.0,0.0-5.0,3.0-11.0,8.0-14.0,9.0-12.0,8.0-8.0,3.0-3.0,-,0.0,7.0,4.0,2.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,3.0,8.0,9.0,8.0,3.0,,3.0,14.0,8.0,4.0,2.0,5.0,4.0,5.0,14.0,11.0,5.0,11.0,14.0,12.0,8.0,3.0,
GreaterNestor,27,2.0-8.0,6.0-14.0,0.0-7.0,3.0-8.0,2.0-8.0,0.0-14.0,0.0-14.0,0.0-14.0,5.0-14.0,0.0-6.0,4.0-14.0,0.0-6.0,3.0-10.0,6.0-12.0,4.0-9.0,1.0-7.0,5.0-5.0,2.0,6.0,0.0,3.0,2.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,3.0,6.0,4.0,1.0,5.0,8.0,14.0,7.0,8.0,8.0,14.0,14.0,14.0,14.0,6.0,14.0,6.0,10.0,12.0,9.0,7.0,5.0
Eurymedon,6,4.0-4.0,6.0-9.0,0.0-4.0,4.0-4.0,3.0-4.0,4.0-14.0,2.0-14.0,3.0-14.0,11.0-13.0,3.0-6.0,8.0-8.0,3.0-6.0,3.0-10.0,11.0-11.0,9.0-9.0,7.0-7.0,-,4.0,6.0,0.0,4.0,3.0,4.0,2.0,3.0,11.0,3.0,8.0,3.0,3.0,11.0,9.0,7.0,,4.0,9.0,4.0,4.0,4.0,14.0,14.0,14.0,13.0,6.0,8.0,6.0,10.0,11.0,9.0,7.0,
Nestor,7,2.0-4.0,9.0-14.0,0.0-4.0,3.0-5.0,2.0-3.0,0.0-6.0,0.0-6.0,0.0-6.0,5.0-14.0,2.0-6.0,8.0-14.0,2.0-6.0,5.0-10.0,6.0-10.0,4.0-4.0,3.0-3.0,5.0-5.0,2.0,9.0,0.0,3.0,2.0,0.0,0.0,0.0,5.0,2.0,8.0,2.0,5.0,6.0,4.0,3.0,5.0,4.0,14.0,4.0,5.0,3.0,6.0,6.0,6.0,14.0,6.0,14.0,6.0,10.0,10.0,4.0,3.0,5.0
GreaterAjax,29,5.0-8.0,2.0-6.0,2.0-8.0,4.0-6.0,5.0-9.0,1.0-9.0,0.0-9.0,0.0-9.0,8.0-13.0,2.0-5.0,4.0-8.0,2.0-5.0,3.0-11.0,9.0-13.0,5.0-11.0,3.0-6.0,6.0-6.0,5.0,2.0,2.0,4.0,5.0,1.0,0.0,0.0,8.0,2.0,4.0,2.0,3.0,9.0,5.0,3.0,6.0,8.0,6.0,8.0,6.0,9.0,9.0,9.0,9.0,13.0,5.0,8.0,5.0,11.0,13.0,11.0,6.0,6.0
Ajax,12,7.0-8.0,2.0-6.0,5.0-8.0,5.0-6.0,6.0-9.0,1.0-9.0,0.0-9.0,0.0-9.0,8.0-13.0,5.0-5.0,6.0-7.0,5.0-5.0,3.0-8.0,9.0-13.0,10.0-10.0,4.0-4.0,-,7.0,2.0,5.0,5.0,6.0,1.0,0.0,0.0,8.0,5.0,6.0,5.0,3.0,9.0,10.0,4.0,,8.0,6.0,8.0,6.0,9.0,9.0,9.0,9.0,13.0,5.0,7.0,5.0,8.0,13.0,10.0,4.0,
AjaxSub,4,7.0-7.0,6.0-6.0,5.0-6.0,5.0-6.0,6.0-7.0,1.0-3.0,0.0-3.0,0.0-2.0,8.0-10.0,5.0-5.0,7.0-7.0,5.0-5.0,3.0-3.0,9.0-9.0,-,-,-,7.0,6.0,5.0,5.0,6.0,1.0,0.0,0.0,8.0,5.0,7.0,5.0,3.0,9.0,,,,7.0,6.0,6.0,6.0,7.0,3.0,3.0,2.0,10.0,5.0,7.0,5.0,3.0,9.0,,,
HieraSub,4,7.0-7.0,2.0-5.0,6.0-6.0,5.0-5.0,7.0-7.0,3.0-9.0,4.0-9.0,4.0-9.0,9.0-13.0,5.0-5.0,6.0-6.0,5.0-5.0,8.0-8.0,13.0-13.0,-,-,-,7.0,2.0,6.0,5.0,7.0,3.0,4.0,4.0,9.0,5.0,6.0,5.0,8.0,13.0,,,,7.0,5.0,6.0,5.0,7.0,9.0,9.0,9.0,13.0,5.0,6.0,5.0,8.0,13.0,,,
