full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,da_p-intv,da_p-left,da_p-right,e_p-intv,e_p-left,e_p-right,sini_p-intv,sini_p-left,sini_p-right,MeanLib-intv,MeanLib-left,MeanLib-right,LibRange-intv,LibRange-left,LibRange-right,albedo-intv,albedo-left,albedo-right,W1Alb-intv,W1Alb-left,W1Alb-right,W2Alb-intv,W2Alb-left,W2Alb-right,g_mag-mean-intv,g_mag-mean-left,g_mag-mean-right,(b - v)-intv,(b - v)-left,(b - v)-right,(u - g)-intv,(u - g)-left,(u - g)-right,(g - r)-intv,(g - r)-left,(g - r)-right,(r - i)-intv,(r - i)-left,(r - i)-right,(i - z)-intv,(i - z)-left,(i - z)-right,(Y - J)-intv,(Y - J)-left,(Y - J)-right,(J - Ks)-intv,(J - Ks)-left,(J - Ks)-right,(H - Ks)-intv,(H - Ks)-left,(H - Ks)-right,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  1869 Philoctetes (4596 P-L),9.0,4.0,0.0,6.0,7.0,6.0,6.0,7.0,?,?,?,?,?,?,?,?,?,4,"(0.102, 0.114]",0.102,0.114,"(0.0532, 0.0655]",0.0532,0.0655,"(0.0102, 0.0648]",0.0102,0.0648,"(4.427, 5.757]",4.427,5.7570000000000014,"(39.195, 44.393]",39.195,44.393,"(0.095, 0.107]",0.095,0.107,"(0.194, 0.217]",0.194,0.217,"(0.202, 0.226]",0.202,0.226,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterDiomedes,Philoctetes,-,,
  8241 Agrius (1973 SE1),8.0,7.0,1.0,7.0,8.0,5.0,5.0,5.0,?,3.0,7.0,3.0,4.0,10.0,?,?,?,4,"(0.0911, 0.102]",0.0911,0.102,"(0.0903, 0.103]",0.0903,0.10300000000000001,"(0.0648, 0.119]",0.0648,0.11900000000000001,"(5.757, 7.087]",5.7570000000000014,7.0870000000000015,"(44.393, 49.592]",44.393,49.592,"(0.0833, 0.095]",0.0833,0.095,"(0.171, 0.194]",0.171,0.194,"(0.152, 0.177]",0.152,0.177,-,-,-,"(0.718, 0.787]",0.718,0.787,"(1.405, 1.515]",1.405,1.515,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.157, 0.179]",0.157,0.179,"(0.117, 0.183]",0.117,0.183,-,-,-,-,-,-,-,-,-,GreaterDiomedes,Philoctetes,AndraimonSub,,
  9590 (1991 DK1),9.0,6.0,1.0,7.0,8.0,?,?,?,?,2.0,7.0,3.0,7.0,10.0,?,?,?,4,"(0.102, 0.114]",0.102,0.114,"(0.0779, 0.0903]",0.0779,0.0903,"(0.0648, 0.119]",0.0648,0.11900000000000001,"(5.757, 7.087]",5.7570000000000014,7.0870000000000015,"(44.393, 49.592]",44.393,49.592,-,-,-,-,-,-,-,-,-,-,-,-,"(0.649, 0.718]",0.649,0.718,"(1.405, 1.515]",1.405,1.515,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.223, 0.245]",0.223,0.245,"(0.117, 0.183]",0.117,0.183,-,-,-,-,-,-,-,-,-,GreaterDiomedes,Philoctetes,AndraimonSub,D,Hasselmann2012
 13184 Augeias (1996 TS49),7.0,5.0,1.0,6.0,6.0,3.0,4.0,5.0,?,?,?,?,?,?,?,?,?,4,"(0.0798, 0.0911]",0.0798,0.0911,"(0.0655, 0.0779]",0.0655,0.0779,"(0.0648, 0.119]",0.0648,0.11900000000000001,"(4.427, 5.757]",4.427,5.7570000000000014,"(33.996, 39.195]",33.996,39.195,"(0.06, 0.0717]",0.06,0.0717,"(0.148, 0.171]",0.14800000000000002,0.171,"(0.152, 0.177]",0.152,0.177,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterDiomedes,Philoctetes,AndraimonSub,,
 13383 (1998 XS31),7.0,1.0,2.0,6.0,7.0,7.0,7.0,7.0,?,?,?,?,?,?,?,?,?,4,"(0.0798, 0.0911]",0.0798,0.0911,"(0.0161, 0.0284]",0.0161,0.0284,"(0.119, 0.172]",0.11900000000000001,0.172,"(4.427, 5.757]",4.427,5.7570000000000014,"(39.195, 44.393]",39.195,44.393,"(0.107, 0.118]",0.107,0.118,"(0.217, 0.239]",0.217,0.239,"(0.202, 0.226]",0.202,0.226,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterDiomedes,Philoctetes,-,,
 16152 (1999 YN12),7.0,4.0,0.0,6.0,7.0,8.0,?,?,?,3.0,7.0,3.0,5.0,9.0,?,?,?,4,"(0.0798, 0.0911]",0.0798,0.0911,"(0.0532, 0.0655]",0.0532,0.0655,"(0.0102, 0.0648]",0.0102,0.0648,"(4.427, 5.757]",4.427,5.7570000000000014,"(39.195, 44.393]",39.195,44.393,"(0.118, 0.13]",0.118,0.13,-,-,-,-,-,-,-,-,-,"(0.718, 0.787]",0.718,0.787,"(1.405, 1.515]",1.405,1.515,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.179, 0.201]",0.179,0.201,"(0.05, 0.117]",0.05,0.117,-,-,-,-,-,-,-,-,-,GreaterDiomedes,Philoctetes,-,,
 19725 (1999 WT4),8.0,2.0,2.0,6.0,7.0,5.0,3.0,4.0,13.0,3.0,7.0,3.0,6.0,9.0,?,?,?,4,"(0.0911, 0.102]",0.0911,0.102,"(0.0284, 0.0408]",0.0284,0.0408,"(0.119, 0.172]",0.11900000000000001,0.172,"(4.427, 5.757]",4.427,5.7570000000000014,"(39.195, 44.393]",39.195,44.393,"(0.0833, 0.095]",0.0833,0.095,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.127, 0.152]",0.127,0.152,"(18.653, 18.925]",18.653,18.925,"(0.718, 0.787]",0.718,0.787,"(1.405, 1.515]",1.405,1.515,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.201, 0.223]",0.201,0.223,"(0.05, 0.117]",0.05,0.117,-,-,-,-,-,-,-,-,-,GreaterDiomedes,Philoctetes,-,X,Hasselmann2012
 19913 Aigyptios (1973 SU1),9.0,3.0,1.0,7.0,8.0,6.0,9.0,10.0,?,?,?,?,?,?,?,?,?,4,"(0.102, 0.114]",0.102,0.114,"(0.0408, 0.0532]",0.0408,0.0532,"(0.0648, 0.119]",0.0648,0.11900000000000001,"(5.757, 7.087]",5.7570000000000014,7.0870000000000015,"(44.393, 49.592]",44.393,49.592,"(0.095, 0.107]",0.095,0.107,"(0.262, 0.285]",0.262,0.285,"(0.276, 0.301]",0.276,0.301,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterDiomedes,Philoctetes,-,,
 21271 (1996 RF33),8.0,3.0,1.0,6.0,7.0,5.0,5.0,6.0,?,?,?,?,?,?,?,?,?,4,"(0.0911, 0.102]",0.0911,0.102,"(0.0408, 0.0532]",0.0408,0.0532,"(0.0648, 0.119]",0.0648,0.11900000000000001,"(4.427, 5.757]",4.427,5.7570000000000014,"(39.195, 44.393]",39.195,44.393,"(0.0833, 0.095]",0.0833,0.095,"(0.171, 0.194]",0.171,0.194,"(0.177, 0.202]",0.177,0.202,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterDiomedes,Philoctetes,-,,
 23144 (2000 AY182),8.0,2.0,3.0,6.0,7.0,9.0,?,?,?,3.0,8.0,3.0,5.0,9.0,?,?,?,4,"(0.0911, 0.102]",0.0911,0.102,"(0.0284, 0.0408]",0.0284,0.0408,"(0.172, 0.226]",0.172,0.226,"(4.427, 5.757]",4.427,5.7570000000000014,"(39.195, 44.393]",39.195,44.393,"(0.13, 0.142]",0.13,0.142,-,-,-,-,-,-,-,-,-,"(0.718, 0.787]",0.718,0.787,"(1.515, 1.626]",1.515,1.626,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.179, 0.201]",0.179,0.201,"(0.05, 0.117]",0.05,0.117,-,-,-,-,-,-,-,-,-,GreaterDiomedes,Philoctetes,-,,
 23963 (1998 WY8),8.0,3.0,1.0,6.0,7.0,6.0,?,?,?,2.0,7.0,2.0,5.0,8.0,?,?,?,4,"(0.0911, 0.102]",0.0911,0.102,"(0.0408, 0.0532]",0.0408,0.0532,"(0.0648, 0.119]",0.0648,0.11900000000000001,"(4.427, 5.757]",4.427,5.7570000000000014,"(39.195, 44.393]",39.195,44.393,"(0.095, 0.107]",0.095,0.107,-,-,-,-,-,-,-,-,-,"(0.649, 0.718]",0.649,0.718,"(1.405, 1.515]",1.405,1.515,"(0.433, 0.5]",0.433,0.5,"(0.179, 0.201]",0.179,0.201,"(-0.0167, 0.05]",-0.0167,0.05,-,-,-,-,-,-,-,-,-,GreaterDiomedes,Philoctetes,-,X,Hasselmann2012
 24233 (1999 XD94),8.0,1.0,3.0,5.0,7.0,7.0,7.0,8.0,?,3.0,7.0,3.0,5.0,9.0,?,?,?,4,"(0.0911, 0.102]",0.0911,0.102,"(0.0161, 0.0284]",0.0161,0.0284,"(0.172, 0.226]",0.172,0.226,"(3.096, 4.427]",3.096,4.427,"(39.195, 44.393]",39.195,44.393,"(0.107, 0.118]",0.107,0.118,"(0.217, 0.239]",0.217,0.239,"(0.226, 0.251]",0.226,0.251,-,-,-,"(0.718, 0.787]",0.718,0.787,"(1.405, 1.515]",1.405,1.515,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.179, 0.201]",0.179,0.201,"(0.05, 0.117]",0.05,0.117,-,-,-,-,-,-,-,-,-,GreaterDiomedes,Philoctetes,-,DX,Fornasier2007
